topic,alpha,word,weight
1,0.0270796531301825,nur,5161
1,0.0270796531301825,noch,4400
1,0.0270796531301825,hat,4373
1,0.0270796531301825,man,4220
1,0.0270796531301825,seiner,3215
1,0.0270796531301825,war,3197
1,0.0270796531301825,um,3186
1,0.0270796531301825,diese,3131
1,0.0270796531301825,ihm,2953
1,0.0270796531301825,mir,2921
1,0.0270796531301825,fur,2516
1,0.0270796531301825,fir,2366
1,0.0270796531301825,iiber,2278
1,0.0270796531301825,selbst,2271
1,0.0270796531301825,schon,2150
1,0.0270796531301825,mich,2121
1,0.0270796531301825,ihn,2105
1,0.0270796531301825,uns,2087
1,0.0270796531301825,mehr,1992
1,0.0270796531301825,haben,1975
1,0.0270796531301825,sondern,1876
1,0.0270796531301825,denn,1846
1,0.0270796531301825,zeit,1693
1,0.0270796531301825,seinen,1683
1,0.0270796531301825,leben,1632
1,0.0270796531301825,seinem,1618
1,0.0270796531301825,immer,1598
1,0.0270796531301825,ganz,1595
1,0.0270796531301825,dann,1576
1,0.0270796531301825,goethe,1544
1,0.0270796531301825,ohne,1506
1,0.0270796531301825,gegen,1484
1,0.0270796531301825,alles,1368
1,0.0270796531301825,ihrer,1310
1,0.0270796531301825,sehr,1310
1,0.0270796531301825,wohl,1304
1,0.0270796531301825,deutschen,1299
1,0.0270796531301825,menschen,1293
1,0.0270796531301825,diesem,1287
1,0.0270796531301825,nichts,1285
1,0.0270796531301825,zwischen,1259
1,0.0270796531301825,welt,1243
1,0.0270796531301825,dichter,1153
1,0.0270796531301825,habe,1151
1,0.0270796531301825,keine,1135
1,0.0270796531301825,kein,1098
1,0.0270796531301825,ersten,1094
1,0.0270796531301825,fiir,1090
1,0.0270796531301825,diesen,1055
1,0.0270796531301825,ff,1054
2,0.00966289740498777,swift,1552
2,0.00966289740498777,fielding,935
2,0.00966289740498777,thackeray,827
2,0.00966289740498777,love,565
2,0.00966289740498777,rilke,541
2,0.00966289740498777,sterne,465
2,0.00966289740498777,tristram,415
2,0.00966289740498777,gulliver,334
2,0.00966289740498777,forster,315
2,0.00966289740498777,jacobsen,308
2,0.00966289740498777,ts,301
2,0.00966289740498777,faulkner,300
2,0.00966289740498777,vanity,299
2,0.00966289740498777,sutpen,275
2,0.00966289740498777,wild,272
2,0.00966289740498777,clough,246
2,0.00966289740498777,bk,239
2,0.00966289740498777,project,238
2,0.00966289740498777,good,236
2,0.00966289740498777,world,225
2,0.00966289740498777,theme,215
2,0.00966289740498777,first,208
2,0.00966289740498777,wells,204
2,0.00966289740498777,time,195
2,0.00966289740498777,novel,176
2,0.00966289740498777,make,175
2,0.00966289740498777,never,168
2,0.00966289740498777,fair,163
2,0.00966289740498777,often,146
2,0.00966289740498777,walpole,145
2,0.00966289740498777,ever,137
2,0.00966289740498777,ox,134
2,0.00966289740498777,chapter,132
2,0.00966289740498777,end,126
2,0.00966289740498777,absolute,125
2,0.00966289740498777,hypocrisy,125
2,0.00966289740498777,reader,125
2,0.00966289740498777,art,121
2,0.00966289740498777,two,117
2,0.00966289740498777,almost,116
2,0.00966289740498777,feelings,115
2,0.00966289740498777,new,112
2,0.00966289740498777,nature,112
2,0.00966289740498777,evil,112
2,0.00966289740498777,travels,111
2,0.00966289740498777,india,110
2,0.00966289740498777,long,108
2,0.00966289740498777,know,103
2,0.00966289740498777,cannot,103
2,0.00966289740498777,truth,102
3,0.0491190956814329,university,3021
3,0.0491190956814329,students,2268
3,0.0491190956814329,mla,1983
3,0.0491190956814329,research,1886
3,0.0491190956814329,graduate,1744
3,0.0491190956814329,academic,1691
3,0.0491190956814329,education,1587
3,0.0491190956814329,teaching,1549
3,0.0491190956814329,scholars,1484
3,0.0491190956814329,members,1482
3,0.0491190956814329,world,1395
3,0.0491190956814329,professional,1268
3,0.0491190956814329,two,1227
3,0.0491190956814329,pmla,1178
3,0.0491190956814329,profession,1136
3,0.0491190956814329,years,1133
3,0.0491190956814329,humanities,1126
3,0.0491190956814329,field,1113
